name,stars,forks,url
NextChat,73589,58342,https://github.com/ChatGPTNextWeb/ChatGPT-Next-Web
Dify.AI,40113,5491,https://github.com/langgenius/dify
Lobe Chat,36291,8612,https://github.com/lobehub/lobe-chat
Open WebUI,34154,3816,https://github.com/open-webui/open-webui
Chatbot UI v2,27704,7695,https://github.com/mckaywrigley/chatbot-ui
Chatbox,20142,2048,https://github.com/Bin-Huang/Chatbox
AnythingLLM (Docker + MacOs/Windows/Linux native app),18225,1978,https://github.com/Mintplex-Labs/anything-llm
LibreChat,15936,2661,https://github.com/danny-avila/LibreChat
RAGFlow,13275,1308,https://github.com/infiniflow/ragflow
big-AGI,5008,1124,https://github.com/enricoros/big-AGI/blob/main/docs/config-local-ollama.md
Lollms-Webui,4139,521,https://github.com/ParisNeo/lollms-webui
Enchanted (macOS native),2762,174,https://github.com/AugustDev/enchanted
ChatOllama,2473,376,https://github.com/sugarforever/chat-ollama
Cheshire Cat assistant framework,2189,285,https://github.com/cheshire-cat-ai/core
Bionic GPT,1805,168,https://github.com/bionic-gpt/bionic-gpt
LLMStack,1350,206,https://github.com/trypromptly/LLMStack
Chatbot UI,1331,221,https://github.com/ivanfioravanti/chatbot-ollama
Ollamac,1074,57,https://github.com/kevinhermawan/Ollamac
chatd,866,58,https://github.com/BruceMacD/chatd
HTML UI,677,113,https://github.com/rtcfirefly/ollama-ui
Amica,609,94,https://github.com/semperai/amica
NextJS Web Interface for Ollama,590,139,https://github.com/jakobhoeg/nextjs-ollama-llm-ui
chat,502,88,https://github.com/swuecho/chat
Typescript UI,259,46,https://github.com/ollama-interface/Ollama-Gui?tab=readme-ov-file
Minimalistic React UI for Ollama Models,228,41,https://github.com/richawo/minimal-llm-ui
OpenAOE,221,23,https://github.com/InternLM/OpenAOE
Ollama-SwiftUI,216,23,https://github.com/kghandour/Ollama-SwiftUI
Sidellama,207,10,https://github.com/gyopak/sidellama
Ollama RAG Chatbot,189,28,https://github.com/datvodinh/rag-chatbot.git
LLM-X,131,10,https://github.com/mrdjohnson/llm-x
Hollama,116,17,https://github.com/fmaclen/hollama
QA-Pilot,116,15,https://github.com/reid41/QA-Pilot
macai,110,11,https://github.com/Renset/macai
WinForm Ollama Copilot,83,13,https://github.com/tgraupmann/WinForm_Ollama_Copilot
Ollama-chats RPG,80,16,https://github.com/drazdra/ollama-chats
Odin Runes,73,6,https://github.com/leonid20000/OdinRunes
CRAG Ollama Chat,62,5,https://github.com/Nagi-ovo/CRAG-Ollama-Chat
Saddle,57,6,https://github.com/jikkuatwork/saddle
LLocal.in,51,7,https://github.com/kartikm7/llocal
OllamaGUI,49,4,https://github.com/enoch1118/ollamaGUI
Harbor,39,2,https://github.com/av/harbor
Alpaca WebUI,34,8,https://github.com/mmo80/alpaca-webui
OllamaSpring,32,1,https://github.com/CrazyNeil/OllamaSpring
AI Studio,28,1,https://github.com/MindWorkAI/AI-Studio
StreamDeploy,12,6,https://github.com/StreamDeploy-DevRel/streamdeploy-llm-app-scaffold
Olpaka,9,1,https://github.com/Otacon/olpaka
Ollama Basic Chat: Uses HyperDiv Reactive UI,8,3,https://github.com/rapidarchitect/ollama_basic_chat
Ollama with Google Mesop,5,0,https://github.com/rapidarchitect/ollama_mesop/
